CONSIGNMENT_NO;DESPATCH_DATE;HAULIER;COLLECT_CITY;COLLECT_CC;DELIVER_CITY;DELIVER_CC;SERVICE;ACCOUNT_TYPE;GROSS_WEIGHT_KG;NET_CHARGE;CCY;DAYS_IN_TRANSIT;SLA_DAYS;CONSIGNMENT_STATUS
ORD-100493;2026-01-26;Vantage Freight Ltd;Hamburg;DE;Berlin;DE;Economy;E-Commerce;2.84;24.02;EUR;4.0;7;In Transit
ORD-101963;2026-05-25 00:00:00;Vantage;Hamburg;DE;Amsterdam;NL;Standard;Wholesale;32.93;71.18;EUR;2.0;4;Delivered
ORD-104711;May 11, 2026; Nordfrakt ;Rotterdam;NL;Copenhagen;DK;Standard;Wholesale;3.76;34.96;EUR;2.0;4;DELIVERED
ORD-100333;2026-06-01 00:00:00;Nordfrakt;Gothenburg;SE;Rome;IT;Standard;Retail;12.84;73.4;USD;5.0;4;Delayed
ORD-100679;Jul 27, 2026;Meridian Express;Hamburg;DE;Cologne;DE;Express;Retail;4.28;106.46;USD;2.0;2;Delivered
ORD-102836;2026-08-12;Vantage Freight Ltd;Milan;IT;Cologne;DE;Economy;Retail;11.31;36.46;EUR;5.0;7;Delivered
ORD-101138;2026-04-13;Nordfrakt AB;Gothenburg;SE;Marseille;FR;Standard;Industrial;9.53;70.21;EUR;3.0;4;Delivered
ORD-103812;2026-03-06 00:00:00;hanseatic line;Hamburg;DE;Bergen;NO;Standard;E-Commerce;16.53;63.56;EUR;3.0;4;Delivered
ORD-102898;12/05/2026;baltica;Gothenburg;SE;Munich;DE;Express;E-Commerce;35.76;158.06;USD;;2;Cancelled
ORD-104134;2026-08-24 00:00:00;HANSEATIC;Rotterdam;NL;Gdansk;PL;Standard;E-Commerce;9.49;46.59;EUR;6.0;4;Delayed
ORD-103299;2026-05-15 00:00:00;hanseatic line;Gothenburg;SE;Eindhoven;NL;Standard;Wholesale;20.22;71.61;EUR;4.0;4;Delivered
ORD-104537;2026-04-02 00:00:00;Vantage Freight;Rotterdam;NL;Munich;DE;Express;Wholesale;13.14;;EUR;2.0;2;Delivered
ORD-102382;2026-07-17;hanseatic line;Rotterdam;NL;Munich;DE;Standard;Retail;33.86;84.89;EUR;4.0;4;Delivered
ORD-104783;2026-04-20;Vantage;Gothenburg;SE;Munich;DE;Express;E-Commerce;1.37;78.66;USD;2.0;2;Delivered
ORD-101333;2026-05-18 00:00:00;Baltica Logistics A/S;Hamburg;DE;Munich;DE;Standard;Wholesale;18.62;56.89;EUR;4.0;4;Delivered
ORD-100199;11/08/2026;Nordfrakt;Gothenburg;SE;Gothenburg;SE;Standard;E-Commerce;68.07;161.72;EUR;2.0;4;Delivered
ORD-101938;2026-08-09;Vantage;Gothenburg;SE;London;GB;Standard;Wholesale;31.87;;USD;4.0;4;DELIVERED
