order_id,ship_date,carrier,origin_city,origin_country,destination_city,destination_country,service_level,customer_segment,weight_kg,freight_cost,currency,transit_days,promised_days,status
ORD-102943,12/06/2025,Meridian Express,Gothenburg,SE,Copenhagen,DK,Standard,Retail,23.75,47.3,EUR,2.0,4,Delivered
ORD-103810,2025-07-04,vantage freight,Gothenburg,SE,Warsaw,PL,Standard,Industrial,29.5,82.95,EUR,4.0,4,Delivered
ORD-104020,12/05/2025,Meridian Express,Milan,IT,Malmo,SE,Standard,Industrial,10.31,41.13,EUR,2.0,4,Delivered
ORD-101365,2025-03-10 00:00:00,Kestrel Parcels AB,Rotterdam,NL,Copenhagen,DK,Express,Wholesale,32.05,131.28,EUR,2.0,2,Delivered
ORD-100799,2025-10-29 00:00:00,Vantage,Gothenburg,SE,Munich,DE,Express,Industrial,25.85,105.34,EUR,2.0,2,DELIVERED
ORD-102200,17/09/2025,Kestrel Parcel,Rotterdam,NL,Turin,IT,Standard,Retail,14.76,69.05,EUR,5.0,4,Delayed
ORD-101166,13/03/2025,Kestrel Parcels AB,Hamburg,DE,Gothenburg,SE,Standard,Industrial,7.44,39.64,USD,3.0,4,Delivered
ORD-103753,"Jul 28, 2025",Baltica Logistics,Gothenburg,SE,Turin,IT,Express,Retail,44.2,213.28,EUR,2.0,2,DELIVERED
ORD-102543,2025-09-26,Baltica Logistics A/S,Rotterdam,NL,Amsterdam,NL,Standard,Wholesale,20.25,37.44,EUR,3.0,4,Delivered
ORD-100681,2025-05-15 00:00:00,Hanseatic Line,Hamburg,DE,Gothenburg,SE,Standard,Retail,52.97,109.08,EUR,2.0,4,Delivered
ORD-104572,27/11/2025,KESTREL PARCEL,Gothenburg,SE,Rome,IT,Standard,Industrial,65.24,138.08,EUR,4.0,4,Delivered
ORD-103999,2025-12-11 00:00:00,Baltica Log.,Hamburg,DE,Rome,IT,Standard,Retail,14.05,54.79,EUR,5.0,4,Delayed
ORD-103256,"Jun 03, 2025",Nordfrakt AB,Hamburg,DE,Zurich,CH,Economy,E-Commerce,37.17,53.0,EUR,5.0,7,Delivered
ORD-101940,2025-05-30,Baltica Logistics,Hamburg,DE,Lyon,FR,Economy,E-Commerce,51.46,68.97,USD,7.0,7,Delivered
ORD-102431,2025-12-12,Kestrel Parcel,Hamburg,DE,Cologne,DE,Standard,Industrial,32.84,95.56,USD,4.0,4,Delivered
ORD-104915,,vantage freight,Rotterdam,NL,Oslo,NO,Standard,E-Commerce,28.16,72.12,EUR,3.0,4,Delivered
ORD-104244,2025-09-10,vantage freight,Gothenburg,SE,Paris,FR,Express,Industrial,28.83,164.28,EUR,2.0,2,Delivered
ORD-102682,30/09/2025,Vantage Freight,Rotterdam,NL,Malmo,SE,Standard,E-Commerce,17.63,51.72,EUR,2.0,4,Delivered
ORD-102498,18/03/2025, Nordfrakt ,Gothenburg,SE,Gothenburg,SE,Standard,Wholesale,20.98,73.44,EUR,2.0,4,Delivered
ORD-102307,"May 26, 2025",Meridian Express,Milan,IT,Prague,CZ,Express,Industrial,2.55,96.8,EUR,2.0,2,DELIVERED
ORD-100760,2025-06-05 00:00:00,vantage freight,Hamburg,DE,Graz,AT,Express,E-Commerce,29.48,128.84,EUR,2.0,2,Delivered
ORD-101949,2025-08-25,Vantage Freight,Gothenburg,SE,Frankfurt,DE,Standard,E-Commerce,12.07,48.61,EUR,4.0,4,Delivered
ORD-104446,"Aug 18, 2025",MERIDIAN EXPRESS,Hamburg,DE,Gdansk,PL,Standard,Industrial,14.03,63.03,EUR,3.0,4,Delivered
ORD-104445,"Oct 15, 2025",Kestrel Parcel,Rotterdam,NL,Zurich,CH,Express,E-Commerce,3.65,75.61,EUR,3.0,2,Delayed
ORD-101459,2025-12-09 00:00:00, Nordfrakt ,Gothenburg,SE,Turin,IT,Economy,E-Commerce,6.71,48.64,EUR,6.0,7,Delivered
ORD-104681,2025-06-02,Baltica Logistics,Barcelona,ES,Munich,DE,Express,Wholesale,45.2,162.11,EUR,2.0,2,Delivered
ORD-102117,23/12/2025,kestrel,Gothenburg,SE,Tampere,FI,Economy,E-Commerce,45.55,67.81,EUR,8.0,7,Delayed
