Order ID,Carrier,Ship Date,Service Level,Status,Origin City,Origin Country,Destination City,Destination Country,Customer Segment,Weight (kg),Freight Cost,Currency,Transit Days,Promised Days
ORD-102502,Nordfrakt AB,2026-04-20,Standard,In Transit,Milan,IT,Malmo,SE,Industrial,23.66,53.67,EUR,2.0,4
ORD-100318,Vantage Freight,"Jul 29, 2026",Standard,Delivered,Barcelona,ES,Krakow,PL,Industrial,11.75,59.93,EUR,4.0,4
ORD-103982,Meridian Expr,"Mar 04, 2026",Standard,Delivered,Milan,IT,Berlin,DE,E-Commerce,9.18,54.83,USD,3.0,4
ORD-100940,Baltica Log.,"Mar 16, 2026",Standard,Delivered,Milan,IT,Amsterdam,NL,Industrial,26.38,53.95,EUR,2.0,4
ORD-103861, Nordfrakt ,2026-02-17 00:00:00,Standard,Delivered,Milan,IT,Graz,AT,E-Commerce,26.17,88.11,USD,4.0,4
ORD-100161,Baltica Logistics,02/03/2026,Express,Delivered,Hamburg,DE,Gothenburg,SE,Wholesale,45.15,181.59,USD,1.0,2
ORD-100739,Baltica Logistics,"Jul 07, 2026",Express,Delayed,Gothenburg,SE,Madrid,ES,E-Commerce,6.32,104.13,EUR,3.0,2
ORD-102651,Baltica Logistics A/S,2026-06-26,Economy,Delivered,Barcelona,ES,Oslo,NO,Retail,53.96,79.37,EUR,4.0,7
ORD-101196, Nordfrakt ,"Mar 27, 2026",Express,Delivered,Rotterdam,NL,Manchester,GB,Industrial,37.02,2202.38,SEK,2.0,2
ORD-101283,Kestrel Parcels AB,14/05/2026,Express,Delayed,Rotterdam,NL,Gdansk,PL,Industrial,4.06,84.68,EUR,3.0,2
ORD-103906,Nordfrakt AB,"Mar 30, 2026",Express,Delivered,Gothenburg,SE, Malmo ,SE,Wholesale,14.31,78.79,EUR,1.0,2
ORD-103262,MERIDIAN EXPRESS,2026-04-13 00:00:00,Standard,Delivered,Hamburg,DE,Tampere,FI,Retail,27.62,85.39,EUR,4.0,4
ORD-104107,Vantage,"Jun 06, 2026",Standard,Delivered,Milan,IT,Zurich,CH,Retail,24.42,78.82,EUR,3.0,4
ORD-103832,KESTREL PARCEL,18/05/2026,Express,In Transit,Hamburg,DE,Lyon,FR,E-Commerce,20.82,94.15,EUR,2.0,2
ORD-102413,Baltica Logistics,2026-01-26,Standard,Delayed,Rotterdam,NL,Helsinki,FI,E-Commerce,9.2,61.33,EUR,5.0,4
ORD-102604,Kestrel Parcel,"Apr 21, 2026",Express,Delayed,Hamburg,DE,Geneva,CH,Wholesale,42.5,154.48,USD,3.0,2
ORD-102708,Vantage Freight,"Apr 06, 2026",Standard,Delivered,Barcelona,ES,Berlin,DE,E-Commerce,71.7,133.91,EUR,3.0,4
ORD-103642,KESTREL PARCEL,2026-07-24,Economy,Delivered,Rotterdam,NL,Geneva,CH,E-Commerce,36.45,52.86,USD,7.0,7
ORD-100387,nordfrakt,"Jun 01, 2026",Standard,Delayed,Hamburg,DE,Helsinki,FI,Wholesale,23.39,50.23,EUR,5.0,4
ORD-103157,MERIDIAN EXPRESS,"Aug 29, 2026",Economy,In Transit,Gothenburg,SE,Munich,DE,E-Commerce,30.26,501.87,SEK,4.0,7
ORD-101291,Meridian Expr,"Jun 15, 2026",Express,Delayed,Rotterdam,NL,Gdansk,PL,Retail,12.08,111.22,EUR,3.0,2
ORD-101569,Baltica Logistics,"Aug 24, 2026",Standard,Delayed,Gothenburg,SE,Vienna,AT,Wholesale,15.9,76.03,EUR,5.0,4
ORD-101598,Baltica Log.,"Jun 08, 2026",Standard,Delivered,Hamburg,DE,Frankfurt,DE,Retail,40.48,95.81,EUR,3.0,4
ORD-103977, Nordfrakt ,2026-08-25,Standard,Delivered,Barcelona,ES,Marseille,FR,E-Commerce,13.35,49.51,EUR,3.0,4
ORD-103819,Nordfrakt,"Jul 06, 2026",Standard,Delivered,Gothenburg,SE,Aarhus,DK,Industrial,34.16,90.98,USD,3.0,4
ORD-100078,Vantage Freight,2026-01-05,Standard,Delivered,Hamburg,DE,Graz,AT,Wholesale,14.8,59.21,EUR,4.0,4
ORD-103880,vantage freight,2026-06-18 00:00:00,Standard,Delivered,Gothenburg,SE, Aarhus ,DK,Retail,50.07,104.94,EUR,2.0,4
ORD-101297,Nordfrakt AB,"Mar 09, 2026",Standard,DELIVERED,Rotterdam,NL,Amsterdam,NL,Industrial,40.11,87.53,EUR,2.0,4
ORD-103027,Nordfrakt AB,2026-04-15,Standard,Delivered,Hamburg,DE,Warsaw,PL,Retail,30.79,66.37,EUR,4.0,4
ORD-104459,KESTREL PARCEL,"Feb 23, 2026",Standard,Delivered,Hamburg,DE,Gdansk,PL,Industrial,19.21,69.34,EUR,4.0,4
ORD-103914,Baltica Log.,"May 08, 2026",Standard,Delivered,Hamburg,DE,Warsaw,PL,E-Commerce,20.57,65.2,EUR,4.0,4
ORD-103794,Vantage Freight Ltd,2026-07-03 00:00:00,Economy,Delivered,Gothenburg,SE,Frankfurt,DE,Retail,14.81,34.35,EUR,4.0,7
ORD-103363,nordfrakt,25/05/2026,Express,Delayed,Milan,IT,Turin,IT,Wholesale,17.16,156.4,USD,3.0,2
ORD-104777,Nordfrakt,"Apr 15, 2026",Economy,Delivered,Rotterdam,NL,Helsinki,FI,E-Commerce,58.63,88.13,EUR,6.0,7
ORD-101680, Meridian Express,2026-07-31,Standard,Delivered,Milan,IT,Graz,AT,Industrial,18.58,732.52,SEK,3.0,4
ORD-101286, Nordfrakt ,2026-07-13 00:00:00,Standard,Delivered,Milan,IT, London ,GB,Industrial,25.53,,EUR,4.0,4
